stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
4191,FEMG2,FIELD ENCAMPMENT @ MEADOW GLADE,FIELD ENCAMPMENT RD & MEADOW GLADE LA,38.830509,-77.448023,,,,
4192,FESG4,FIELD ENCAMPMENT @ SAINT GERMAIN,FIELD ENCAMPMENT RD & SAINT GERMAIN DR,38.831863,-77.450205,,,,
4193,FESV1,FIELD ENCAMPMENT @ SILO VALLEY,FIELD ENCAMPMENT RD & SILO VALLEY VW,38.828396,-77.441649,,,,
4194,FLAW3,FAIR LAKES PW @ AUTUMN WOODS,FAIRLAKES PW & AUTUMN WOODS WY,38.860296,-77.398459,,,,
4197,FLFV1,FAIR LAKES PW @ FAIR VALLEY,FAIR LAKES PW & FAIR VALLEY DR,38.861251,-77.389225,,,,
4198,FPGC1,FLAGPOLE  @  GRANITE CREEK,FLAGPOLE LA & GRANITE CREEK LA,38.872347,-77.303702,,,,
4199,FPGC4,FLAGPOLE @ GRANITE CREEK,FLAGPOLE LA & GRANITE CREEK LA,38.872154,-77.303544,,,,
4200,GOBE1,GOTHWAITE @ BENTLEY,GOTHWAITE DR & BENTLEY SQ,38.840621,-77.458674,,,,
4203,GOCA4,GOTHWAITE @ CARDIGAN,GOTHWAITE DR & GOTHWAITE DR,38.839144,-77.459106,,,,
4206,LCLJ4,LEES CORNER @ LEE JACKSON MEMORIAL,LEES CORNER RD & LEE JACKSON MEMORIAL HY,38.886766,-77.413685,,,,
