stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
419,53007,"N Quincy Street, NB @ 21st Street N, FS",38.896400,-77.108139,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53007#realTimeResultsContainer"
420,53242,"N Quincy Street, SB @ 21st Street N, NS",38.896232,-77.108276,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53242#realTimeResultsContainer"
421,53009,"Military Road, NB @ N Vacation Lane, FS",38.900273,-77.109124,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53009#realTimeResultsContainer"
422,53240,"Military Road, SB @ N Vacation Lane, NS",38.900231,-77.109309,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53240#realTimeResultsContainer"
423,53006,"N Quincy Street, NB @ 20th Street N, FS",38.895009,-77.107591,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53006#realTimeResultsContainer"
424,53243,"N Quincy Street, SB @ 20th Street N, NS",38.894793,-77.107775,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53243#realTimeResultsContainer"
425,53244,"N Quincy Street, SB @ 18th Road N, NS",38.893542,-77.107763,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53244#realTimeResultsContainer"
426,53005,"N Quincy Street, NB @ 18th Street N, NS",38.892962,-77.107579,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53005#realTimeResultsContainer"
427,53004,"N Quincy Street, NB @ 17th Street N, NS",38.890826,-77.108039,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53004#realTimeResultsContainer"
428,53245,"N Quincy Street, SB @ 17th Street N, FS",38.890935,-77.108208,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53245#realTimeResultsContainer"
429,53003,"N Quincy Street, NB @ 14th Street N, FS",38.889012,-77.108174,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53003#realTimeResultsContainer"
430,53246,"N Quincy Street, SB @ 14th Street N, NS",38.889083,-77.108417,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53246#realTimeResultsContainer"
431,53002,"N Quincy Street, NB @ 13th Street N, NS",38.887339,-77.108151,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53002#realTimeResultsContainer"
432,53247,"N Quincy Street, SB @ 13th Street N, NS",38.887467,-77.108326,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53247#realTimeResultsContainer"
440,41025,"Clarendon Blvd, EB @ N Highland Street, NS",38.886778,-77.095136,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A41025#realTimeResultsContainer"
444,41204,"Wilson Blvd, WB @ N Fillmore Street, NS",38.888855,-77.093019,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A41204#realTimeResultsContainer"
446,41203,"Wilson Blvd, WB @ N Danville Street, NS",38.889789,-77.090456,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A41203#realTimeResultsContainer"
447,41202,"Wilson Blvd, WB @ N Barton Street, NS",38.890617,-77.088307,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A41202#realTimeResultsContainer"
448,41027,"Clarendon Blvd, EB @ N Danville Street, NS",38.888487,-77.091119,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A41027#realTimeResultsContainer"
449,41028,"Clarendon Blvd, EB @ N Barton Street, NS",38.889370,-77.088824,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A41028#realTimeResultsContainer"
450,41029,"Clarendon Blvd, EB @ N Wayne Street, NS",38.890345,-77.086492,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A41029#realTimeResultsContainer"
451,41201,"Wilson Blvd, WB @ N Veitch Street, NS",38.891465,-77.085513,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A41201#realTimeResultsContainer"
452,61012,"Wilson Blvd, WB @ N Courthouse Road, NS",38.891872,-77.083805,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61012#realTimeResultsContainer"
453,61011,"Wilson Blvd, WB @ N Troy Street, FS",38.892469,-77.082228,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61011#realTimeResultsContainer"
454,61107,"Clarendon Blvd, EB @ N Uhle Street, NS",38.891310,-77.085020,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61107#realTimeResultsContainer"
455,61108,"Clarendon Blvd, SB @ N Courthouse Road, FS",38.891465,-77.083601,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61108#realTimeResultsContainer"
457,41031,"Court House Metro, Arlington Co Offices (Flags)",38.890665,-77.084930,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A41031#realTimeResultsContainer"
458,61013,"N Veitch Street, NB @ Key Blvd, FS",38.893581,-77.086052,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61013#realTimeResultsContainer"
459,61106,"N Veitch Street, SB @ Key Blvd, NS",38.893455,-77.086232,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61106#realTimeResultsContainer"
460,61010,"Wilson Blvd, WB @ N Rhodes Street, FS",38.893155,-77.080659,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61010#realTimeResultsContainer"
461,61109,"N Rhodes Street, SB @ 16st Street N, FS",38.891692,-77.079325,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61109#realTimeResultsContainer"
462,61009,"N Rhodes Street, NB @ 16th Street N, NS",38.891716,-77.079128,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61009#realTimeResultsContainer"
463,61008,"N Rhodes Street, NB @ 14th Street N, FS",38.890305,-77.078971,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61008#realTimeResultsContainer"
464,61110,"N Rhodes Street, SB @ N 14th Street, NS",38.890236,-77.079101,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61110#realTimeResultsContainer"
465,61007,"N Queen Street, NB @ Rt 50 access Road, NS",38.889495,-77.077454,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61007#realTimeResultsContainer"
466,61111,"N Queen Street, SB @ RT. 50 access road, FS",38.889353,-77.077513,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61111#realTimeResultsContainer"
467,61006,"N Queen Street, NB @ 12th Street N, FS",38.887696,-77.076656,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A61006#realTimeResultsContainer"
