stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
0779a6eb-3366-4a4d-8004-882b3e5d14bc,1640,"Main/S Hill Nbnd","809",37.20697,-80.39883,,,0,,,
2ab81c82-015e-4ae4-82ea-775e0211443c,1604,"Main/Edgewood Sbnd","132",37.22288,-80.40694,,,0,,,
b1556b91-570c-449a-afbe-64c80f307794,1605,"Main/Airport Sbnd","133",37.22218,-80.40617,,,0,,,
44e790b9-b22d-4702-9dcd-d6c609bbfa7e,1110,"Squires Ebnd","710",37.2298,-80.41873,,,0,,,
167cefa8-418f-41fe-a270-1850685b6433,1609,"Fairfax/Ellett Ebnd","139",37.20866,-80.39672,,,0,,,
1121cce1-0518-4912-b1f9-66bfa17506e0,1300,"Toms Creek/Winston Nbnd","300",37.2348,-80.42588,,,0,,,
b6cacdd8-4e30-4f03-8127-1789ae4e23cd,1301,"Gilbert Linkous Nbnd","301",37.23656,-80.42683,,,0,,,
2c996162-f473-44ef-90bc-ac79a0c9c7bc,1302,"Toms Creek/Watson Nbnd","302",37.23803,-80.4266,,,0,,,
3f4f84cd-f3c9-40e6-bec0-56706c502ab1,1303,"Toms Creek/McBryde Nbnd","303",37.24026,-80.42714,,,0,,,
6d0de43b-0c99-40be-afff-f96d8e34fc34,1337,"Toms Creek/Hunt Club Nbnd","",37.24208,-80.42768,,,0,,,
8dde0c5b-d2cc-43e3-b2d7-429d0a84df38,1505,"Harding/Cork Ebnd","205",37.23663,-80.40758,,,0,,,
6bfe1d79-7e58-4036-8b54-6a076a67d26d,1506,"Harding/Patrick Henry Ebnd","206",37.23777,-80.40588,,,0,,,
acad109d-891a-404f-a12a-2b062cb6d827,1507,"Harding/Apperson Ebnd","207",37.23857,-80.40427,,,0,,,
e481c08c-eb77-4ea9-875a-57a3e8faa560,1508,"Harding/Vista Ebnd","208",37.23922,-80.40298,,,0,,,
9f9cf7e4-6fd8-4acf-9cbf-55ed89a529c5,1500,"Roanoke/Church Ebnd","200",37.23016,-80.41273,,,0,,,
086b3cee-8b30-4ec3-b2b0-92bf2c07e97a,1501,"Roanoke/Wharton Ebnd","201",37.23125,-80.4111,,,0,,,
6ac9d440-ec08-4249-aa90-eb7425ce3999,1511,"Ascot/Hampton","211",37.23924,-80.39818,,,0,,,
8220a5ef-b259-425d-bc0f-1a2c9a82f7e1,1521,"Roanoke/Penn Wbnd","222",37.23039,-80.41238,,,0,,,
f8b57f9b-1b4c-451d-8b27-f34016f50c97,1502,"Roanoke/Rutledge Ebnd","202",37.23181,-80.41026,,,0,,,
8301c2cc-150f-4360-83e2-5419e1078720,1503,"Roanoke/Woolwine Ebnd","203",37.23269,-80.40897,,,0,,,
eb87f54c-0322-4344-86e6-2b1ac5a58a47,1509,"Harding/Roanoke Ebnd","209",37.24044,-80.40053,,,0,,,
fb534219-2b06-4bf6-a7df-739ce2b70a9a,1510,"Ascot/Harding Ebnd","210",37.24146,-80.399,,,0,,,
baaed554-410c-4164-b6d1-1949b5358b7f,1513,"Harding/Rucker Wbnd","213",37.24041,-80.40059,,,0,,,
83e6bed4-2f98-44c1-bbd2-fe92a38cd38d,1514,"Harding/Sutton Wbnd","214",37.23919,-80.40305,,,0,,,
7d6a29c1-b8bf-48e4-a16e-6a724cd69c1f,1515,"Harding/Apperson Wbnd","215",37.23848,-80.40446,,,0,,,
