stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
8250,8250,Ridge Rd at Darien Dr,,35.8146,-78.68253,cat,
8251,8251,Lake Boone Tr at Thomas Rd,,35.81616,-78.68348,cat,
8252,8252,Lake Boone Tr at Horton St,,35.8155,-78.6891,cat,
8253,8253,Lake Boone Tr at Wycliff Rd,,35.81576,-78.69523,cat,
8254,8254,Rex Hospital (Outbound),,35.81671,-78.70464,cat,
8255,8255,Duraleigh Rd at Edwards Mill Rd,,35.82314,-78.706,cat,
8256,8256,Edwards Mill Rd at John Humphries Wynd,,35.82534,-78.70554,cat,
8263,8263,Lake Boone Tr at Myron Dr,,35.815681,-78.693753,cat,
8264,8264,Lake Boone Tr at Ridge Rd,,35.815651,-78.682986,cat,
8265,8265,Ridge Rd at Horton St,,35.811676,-78.684278,cat,
8266,8266,Ridge Rd at Anclote Pl,,35.805546,-78.686685,cat,
8267,8267,Ridge Rd at Wade Ave (IB),,35.803185,-78.687657,cat,
8268,8268,Wade Ave at Ridge Rd (Meredith College),,35.801491,-78.686649,cat,
8269,8269,Wade Ave at Dogwood Ln,,35.801025,-78.68074,cat,
8270,8270,Dixie Tr at O'Berry St,,35.799838,-78.676358,cat,
8271,8271,Dixie Tr at Ruffin St,,35.79669,-78.67634,cat,
8272,8272,Dixie Tr at Clark Ave,,35.792682,-78.675767,cat,
8273,8273,Hillsborough St at Friendly Dr ,,35.789266,-78.675378,cat,
8274,8274,Hillsborough St at Brooks Ave,,35.7887,-78.672756,cat,
8276,8276,Hillsborough St at Horne St,,35.787611,-78.667866,cat,
8277,8277,Hillsborough St at NCSU Belltower,,35.786472,-78.663816,cat,
8278,8278,Hillsborough St at Oberlin Rd,,35.785577,-78.661272,cat,
8279,8279,Hillsborough St at Hawthorne Rd,,35.784973,-78.659712,cat,
8280,8280,Hillsborough St at Forest Rd,,35.784577,-78.658949,cat,
8281,8281,Hillsborough St at Hillcrest Rd,,35.783929,-78.657466,cat,
8282,8282,Hillsborough St at W Morgan St,,35.782902,-78.655718,cat,
8283,8283,W Morgan St at Tryon St,,35.780973,-78.65585,cat,
8284,8284,W Morgan St at Mayo St,,35.779838,-78.653804,cat,
8285,8285,Rock Quarry Rd at Edwin Dr,,35.751056,-78.612065,cat,
8290,8290,W Jones St at N Salisbury St,,35.782571,-78.640399,cat,
8291,8291,Rock Quarry Rd at Vardaman St,,35.77027,-78.61985,cat,
8292,8292,Rock Quarry Rd at Raleigh Blvd,,35.76611,-78.61587,cat,
8293,8293,Rock Quarry Rd at Flea Market,,35.76105,-78.61394,cat,
8294,8294,Proctor St at Rock Quarry Rd,,35.75431,-78.61177,cat,
8295,8295,Proctor St at Fountain Dr,,35.75333,-78.60947,cat,
8296,8296,Atkins Dr at Southgate Dr,,35.75412,-78.60686,cat,
8297,8297,2008 Atkins Dr,,35.75234,-78.60617,cat,
8298,8298,Atkins Dr at Tee Dee St,,35.74997,-78.6066,cat,
8299,8299,Atkins Dr at Rock Quarry Rd,,35.748991,-78.60751,cat,
8300,8300,Sanderford Rd at Rock Quarry Rd,,35.7505,-78.61196,cat,
8301,8301,Sanderford Rd at Altama Cir,,35.74534,-78.61399,cat,
8302,8302,Sanderford Rd at Hazelnut Rd,,35.74407,-78.61409,cat,
8303,8303,Sanderford Rd at Savannah Dr,,35.74022,-78.61286,cat,
8304,8304,Idlewood Village Dr at Sanderford Rd,,35.73923,-78.61211,cat,
8306,8306,Snowberry Dr at Oak Hill Ct,,35.73874,-78.61419,cat,
8307,8307,Savannah Dr at Quince Dr,,35.74041,-78.61554,cat,
8308,8308,Savannah Dr at Daytona Dr,,35.74044,-78.61752,cat,
8309,8309,Sylvester St at Seabrook Rd,,35.74165,-78.61947,cat,
8310,8310,Cross Link Rd at Crown Crossing Ln,,35.74472,-78.62342,cat,
8311,8311,Dandridge Dr at Elkhart Dr,,35.74762,-78.62345,cat,
8312,8312,Dandridge Dr at Newcombe Rd,,35.74947,-78.622646,cat,
8313,8313,Hadley Rd at Bunche Dr,,35.75106,-78.61891,cat,
8314,8314,Cross Link Rd at Merrik St,,35.75388,-78.61424,cat,
8315,8315,Rock Quarry Rd at Proctor St,,35.75514,-78.61227,cat,
8316,8316,Rock Quarry Rd Opposite Watson's Flea Market,,35.76105,-78.61364,cat,
8317,8317,Rock Quarry Rd at Cumberland St,,35.77135,-78.62156,cat,
8318,8318,Rock Quarry Rd at Merrywood Dr,,35.769216,-78.617924,cat,
8319,8319,Rock Quarry Rd at Cumberland St,,35.771145,-78.620888,cat,
8320,8320,E Lenoir St at Quarry St,,35.77243,-78.6229,cat,
8321,8321,E Lenoir St at Church St,,35.77256,-78.625776,cat,
8322,8322,E Lenoir St at S Swain St,,35.77275,-78.62954,cat,
8323,8323,E Lenoir St at Chavis Way,,35.77277,-78.63155,cat,
8324,8324,Crabtree Valley Ave at Edwards Mill Rd,,35.838553,-78.680768,cat,
8325,8325,Glenwood Ave at Creedmoor Rd,,35.843582,-78.681668,cat,
8328,8328,Deep Hollow Dr at Duraleigh Rd,,35.853,-78.71047,cat,
8329,8329,Dandridge Dr at Fitzgerald Dr,,35.751119,-78.622159,cat,
8330,8330,New Bern Ave at Luther Rd,,35.78442,-78.59066,cat,
8331,8331,Grove Barton Rd at Lynn Rd,,35.871902,-78.718231,cat,
8332,8332,Avent Ferry Rd at Champion Ct,,35.777386,-78.678389,cat,
8333,8333,Grove Barton Rd at Lynn Rd,,35.871731,-78.718508,cat,
8334,8334,Falls of Neuse Rd at Newton Rd,,35.879439,-78.625161,cat,
8335,8335,Sunnybrook Rd at Kidd Rd,,35.778754,-78.583415,cat,
8336,8336,Thistledown Dr at Cum Laude Ct,,35.75549,-78.69701,cat,
8337,8337,N Tarboro Rd at E Edenton St,,35.78023,-78.622303,cat,
8338,8338,Poole Rd at S Fisher St,,35.77831,-78.615745,cat,
8339,8339,2147 St Mary's St,,35.810427,-78.652532,cat,
8342,8342,E Lenoir St at S Salisbury St,,35.773045,-78.640264,cat,
8343,8343,McDowell St at Martin St,,35.776839,-78.641813,cat,
8344,8344,Bennett St at Glascock St,,35.792946,-78.618033,cat,
8345,8345,Bennett St at Glascock St,,35.792802,-78.617856,cat,
8348,8348,Glenwood Ave at Alexander Rd,,35.806544,-78.647165,cat,
8349,8349,Glenwood Ave at St Mary's St,,35.813203,-78.651228,cat,
8350,8350,Glenwood Ave at Argyle Dr,,35.815465,-78.653088,cat,
8351,8351,Glenwood Ave at Oberlin Rd,,35.816481,-78.659451,cat,
8352,8352,Glenwood Ave at Oberlin Rd,,35.816733,-78.660391,cat,
8353,8353,Glenwood Ave at Pasquatank Dr,,35.825419,-78.665597,cat,
